연도,공항,국내선D/ 국제선I,운항,정상운항,기상,도착안개당해,도착안개상대,도착강설당해,도착강설상대,도착강우당해,도착강우상대,도착기타당해,도착기타상대,도착기상당해,도착기상상대,출발안개당해,출발안개상대,출발강설당해,출발강설상대,출발강우당해,출발강우상대,출발기타당해,출발기타상대,출발기상당해,출발기상상대
2014,KUV,D,1205,1107,6,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,2,0,4,0
2014,KWJ,D,11436,10691,82,38,0,0,0,0,0,0,1,38,1,40,0,3,0,0,0,0,0,43,0
2014,MWX,D,322,283,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2014,MWX,I,635,592,6,1,0,1,0,1,1,0,1,3,2,0,0,0,0,0,0,1,0,1,0
2014,PUS,D,40970,39212,60,3,8,0,0,0,2,9,10,12,20,9,8,0,0,0,0,7,4,16,12
2014,PUS,I,35530,34571,160,14,7,0,3,0,1,38,73,52,84,2,4,0,0,0,0,11,7,13,11
2014,RSU,D,5665,5502,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2014,TAE,D,10095,9664,34,2,1,1,0,0,0,4,4,7,5,11,0,4,0,1,0,5,1,21,1
2014,TAE,I,1007,980,4,1,1,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0
2014,USN,D,4858,4763,10,3,1,0,1,0,0,2,0,5,2,2,0,0,0,1,0,0,0,3,0
2014,WJU,D,688,659,11,3,1,1,0,0,0,1,1,5,2,3,1,0,0,0,0,0,0,3,1
2014,YNY,D,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,YNY,I,205,201,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
