cloud,min_cloud_hei,rain,temp,visiblity,wind_dire,wind_spd,class
5,30,0,11.9,1000,34,4,0
5,30,0,11.9,1000,34,4,0
4,30,0,11.7,1000,35,6,0
4,30,0,11.7,1000,35,6,0
4,30,0,11.7,1000,35,6,0
4,30,0,11.7,1000,35,6,0
4,30,0,11.7,1000,35,6,0
4,30,0,11.7,1000,35,6,0
3,20,0,11.5,1000,35,4,0
4,20,0,6.2,500,20,5,0
4,20,0,5.6,500,20,4,0
2,20,0,5.8,400,18,2,0
2,20,0,5.8,400,18,2,0
0,0,0,9.2,500,36,5,0
0,0,0,9.2,500,36,5,0
0,0,0,9.5,500,36,5,0
0,0,0,9.5,500,36,5,0
0,0,0,9.5,500,36,5,0
0,0,0,9.8,600,36,5,0
0,0,0,9.8,600,36,5,0
0,0,0,10,700,34,5,0
0,0,0,10,700,34,5,0
0,0,0,10,700,34,5,0
0,0,0,10,700,33,6,0
0,0,0,10,700,33,6,0
0,0,0,9.9,700,32,5,0
0,0,0,9.9,700,32,5,0
0,0,0,9.9,700,32,5,0
0,0,0,9.9,700,32,5,0
0,0,0,10.2,800,30,1,0
0,0,0,10.2,800,30,1,0
0,0,0,10.2,800,30,1,0
0,0,0,9.6,800,7,2,0
0,0,0,8.4,900,33,3,0
0,0,0,8.4,900,33,3,0
0,0,0,8.4,900,33,3,0
0,0,0,6.2,800,21,4,0
0,0,0,6.2,800,21,4,0
0,0,0,6.3,800,20,6,0
0,0,0,6.3,800,20,6,0
0,0,0,6.3,800,20,6,0
0,0,0,6.3,800,20,6,0
0,0,0,6.3,800,20,6,0
0,0,0,6.3,800,20,6,0
0,0,0,6.2,800,20,7,0
0,0,0,5.4,1000,19,5,0
0,0,0,5.1,1000,18,6,0
0,0,0,5.5,1000,17,6,0
0,0,0,5.5,1000,17,6,0
0,0,0,5.5,1000,17,6,0
3,200,0,10.5,1000,4,3,0
3,200,0,10.5,1000,4,3,0
3,200,0,10.5,1000,4,3,0
4,200,0,10.5,1000,4,4,0
4,200,0,10.5,1000,4,4,0
4,200,0,10.5,1000,4,4,0
4,200,0,10.5,1000,4,4,0
4,200,0,10.8,1000,2,5,0
4,200,0,11.1,1000,2,5,0
4,200,0,11.1,1000,2,5,0
4,200,0,11.1,1000,2,5,0
4,200,0,11.1,1000,2,5,0
3,200,0,10.6,600,3,5,0
3,200,0,10.6,600,3,5,0
3,200,0,11.2,600,3,5,0
3,200,0,11.2,600,3,5,0
3,200,0,11.2,600,3,5,0
3,200,0,11,600,2,4,0
3,200,0,11,600,2,4,0
3,200,0,11,600,2,4,0
3,200,0,11,600,2,4,0
3,200,0,10.6,600,35,2,0
3,200,0,9.7,600,34,3,0
3,200,0,9.7,600,34,3,0
3,200,0,9.7,600,34,3,0
6,25,0,8.9,500,18,5,0
6,25,0,8.9,500,18,5,0
6,25,0,8.9,500,19,4,0
6,25,0,8.9,500,19,4,0
6,25,0,8.9,500,19,4,0
6,25,0,8.9,500,19,4,0
6,25,0,8.9,500,19,4,0
6,25,0,8.9,500,19,4,0
6,25,0,9.1,400,18,5,0
6,25,0,8.4,400,13,6,0
6,25,0,8.4,400,13,6,0
6,25,0,8.9,400,14,7,0
6,25,0,8.9,400,14,7,0
5,25,0,9.6,400,13,5,0
5,25,0,9.6,400,13,5,0
7,30,0,11.8,500,9,10,0
7,30,0,11.8,500,9,10,0
7,30,0,11.8,500,9,10,0
7,30,0,11.8,500,9,10,0
7,30,0,12.8,500,9,12,0
7,30,0,12.8,500,9,12,0
7,30,0,12.8,500,9,12,0
7,30,0,12.8,500,9,12,0
7,30,0,12.8,500,9,12,0
7,30,0,13.2,500,9,11,0
7,30,0,13.2,500,9,11,0
7,30,0,13.2,500,9,11,0
7,30,0,13.2,500,9,11,0
7,30,0,13.1,600,7,13,0
7,30,0,13.1,600,7,13,0
7,30,0,13.1,600,7,13,0
7,30,0,13.1,600,7,13,0
7,30,0,13.3,600,9,16,0
7,30,0,13.3,600,9,16,0
7,35,0,12.6,800,8,18,0
7,35,0,12.6,800,8,18,0
7,35,0,12.6,800,8,18,0
7,35,0,12.6,800,8,18,0
8,35,0,12.7,800,9,15,0
8,35,0,12.7,800,9,15,0
8,35,0,12.7,800,9,15,0
8,35,0,12.7,800,9,15,0
8,35,0,12.7,800,9,15,0
8,35,0,12.7,800,9,15,0
8,35,0,12.5,800,9,14,0
8,35,0,12.4,800,10,11,0
8,35,0,12.4,800,10,11,0
8,35,0,12.4,800,10,11,0
8,35,0,12.2,600,12,9,0
8,35,0,12.2,600,12,9,0
8,35,2,11.3,420,11,10,0
8,35,2,11.3,420,11,10,0
8,35,2,11.3,420,11,10,0
8,35,2,11.3,420,11,10,0
8,35,2,11.3,420,11,10,0
8,35,2,11.3,420,11,10,0
8,35,2,11.3,420,11,10,0
8,35,2,11,500,10,15,0
8,30,0,10.4,800,10,13,0
8,30,0,10.2,1000,10,14,0
7,35,0,10.5,1000,10,14,0
7,35,0,10.5,1000,10,14,0
7,35,0,10.5,1000,10,14,0
4,25,0,11.3,1000,10,17,0
4,25,0,11.3,1000,10,17,0
4,25,0,11.3,1000,10,17,0
4,25,0,11.3,1000,10,17,0
5,25,0,12.4,1000,9,18,0
5,25,0,12.4,1000,9,18,0
5,25,0,12.4,1000,9,18,0
5,25,0,12.4,1000,9,18,0
2,25,0,12.4,1000,8,20,0
2,25,0,12.4,1000,8,20,0
